ID,Name,Age,Email,Salary
1,Name_1,52,user1@example.com,69226
2,Name_2,52,user2@example.com,24302
3,Name_3,43,user3@example.com,27641
4,Name_4,26,user4@example.com,36019
5,Name_5,42,user5@example.com,-5000
6,Name_6,47,user6@example.com,57736
7,Name_7,59,user7@example,58949
8,Name_8,-1,user8@example.com,76989
9,Name_9,28,user9@example.com,69725
10,Name_10@err,51,user10@example.com,-5000
11,Name_11,53,user11@example.com,29787
12,Name_12,60,user12@example.com,67701
13,Name_13,22,user13@example.com,38332
14,Name_14,43,user14@example,36997
15,Name_15,46,user15@example.com,undefined
16,Name_16,-1,user16@example.com,60776
17,Name_17,55,user17@example.com,66420
18,Name_18,51,user18@example.com,50264
19,Name_19,43,user19@example.com,49220
20,Name_20@err,53,user20@example.com,-5000
21,Name_21,37,user21@example,23776
22,Name_22,23,user22@example.com,77690
23,Name_23,24,user23@example.com,71666
24,Name_24,N/A,user24@example.com,26455
25,Name_25,55,user25@example.com,-5000
26,Name_26,25,user26@example.com,65217
27,Name_27,50,user27@example.com,51876
28,Name_28,58,user28@example,39387
29,Name_29,56,user29@example.com,49406
30,Name_30@err,47,user30@example.com,NaN
31,Name_31,65,user31@example.com,45751
32,Name_32,N/A,user32@example.com,66209
33,Name_33,52,user33@example.com,51209
34,Name_34,62,user34@example.com,71395
35,Name_35,50,user35@example,NaN
36,Name_36,31,user36@example.com,60574
37,Name_37,35,user37@example.com,70544
38,Name_38,59,user38@example.com,27233
39,Name_39,29,user39@example.com,64385
40,Name_40@err,-1,user40@example.com,-5000
